level,control,student_count,awards_per_value,pell_value
4-year,Private for-profit,5485,30.7,52.4
2-year,Public,6740,18.6,52.3
4-year,Public,6467,14,52.3
2-year,Public,711,17.7,52.3
4-year,Private not-for-profit,1071,33.9,52.3
2-year,Public,3766,32.6,52.2
2-year,Public,2207,31,52.2
4-year,Public,8253,20.4,52.2
2-year,Public,10073,19.9,52.2
4-year,Public,3157,12.7,52.2
4-year,Private not-for-profit,2749,21.4,52.2
4-year,Private not-for-profit,520,22.4,52.2
2-year,Public,2073,15.6,52.2
2-year,Private for-profit,485,24.7,52.2
2-year,Public,3157,25.5,52.2
4-year,Public,2638,21.9,52.1
2-year,Public,2572,16.9,52.1
2-year,Public,4364,12.9,52.1
2-year,Public,11893,18.8,52.1
2-year,Public,5911,19,52
2-year,Public,5693,21.2,52
4-year,Public,6903,16.5,52
2-year,Public,4443,20.8,52
2-year,Public,3713,27.5,51.9
4-year,Private not-for-profit,744,22.3,51.9
2-year,Public,2950,22.3,51.9
4-year,Public,16677,18.3,51.9
4-year,Public,2429,26.1,51.9
4-year,Public,1926,16.4,51.9
4-year,Private not-for-profit,2905,22.3,51.8
2-year,Public,10106,23.5,51.8
4-year,Public,16399,19.2,51.8
2-year,Public,3271,18.9,51.8
2-year,Public,7871,15.2,51.7
2-year,Public,5170,26.6,51.7
4-year,Private not-for-profit,922,14,51.7
2-year,Public,2021,23.8,51.7
4-year,Public,12475,20.9,51.7
4-year,Private not-for-profit,878,15.5,51.6
4-year,Private not-for-profit,2257,23.8,51.6
2-year,Private for-profit,277,37.9,51.6
4-year,Private not-for-profit,1401,19.8,51.6
4-year,Private for-profit,602,41.7,51.6
4-year,Private not-for-profit,305,19,51.6
4-year,Private not-for-profit,832,54.7,51.6
4-year,Private not-for-profit,272,26.2,51.6
4-year,Private not-for-profit,302,26,51.5
4-year,Private not-for-profit,1107,21.6,51.5
4-year,Public,9974,21.5,51.5
4-year,Private not-for-profit,66,29.1,51.5
4-year,Private not-for-profit,15998,30.4,51.5
4-year,Private not-for-profit,99,23.2,51.5
4-year,Private not-for-profit,277,34.5,51.4
2-year,Public,5845,16.3,51.4
4-year,Private not-for-profit,830,19.8,51.4
4-year,Private not-for-profit,4231,31.1,51.4
2-year,Public,3900,15.9,51.4
2-year,Private for-profit,555,32.4,51.3
4-year,Private not-for-profit,2077,22.1,51.3
4-year,Private not-for-profit,1328,31.2,51.3
2-year,Public,14798,18.9,51.3
4-year,Private not-for-profit,1198,26.8,51.3
4-year,Public,1298,12.3,51.3
4-year,Private for-profit,372,37.2,51.3
2-year,Public,5194,20.4,51.2
4-year,Private not-for-profit,739,18.4,51.2
4-year,Public,2892,16.1,51.2
4-year,Private not-for-profit,8453,19.1,51.2
2-year,Public,1294,36.3,51.2
2-year,Public,19234,17.5,51.2
4-year,Private not-for-profit,2829,23.9,51.1
2-year,Private for-profit,137,39.1,51.1
2-year,Private for-profit,179,2.7,51.1
4-year,Private not-for-profit,261,31.4,51.1
2-year,Public,4508,20.2,51.1
4-year,Private for-profit,298,26.8,51.1
4-year,Private not-for-profit,3950,19,51.1
4-year,Private for-profit,553,54,51.1
4-year,Public,5587,22.9,51.1
4-year,Private for-profit,108,31.1,51.1
4-year,Private not-for-profit,1656,13.1,51.1
4-year,Public,5616,16.2,51
4-year,Public,26928,22.4,51
4-year,Public,10227,20.8,51
4-year,Public,6145,20.7,51
4-year,Public,13569,24.1,50.9
2-year,Public,5710,18.6,50.9
4-year,Public,5898,22.4,50.9
4-year,Public,5542,19.2,50.9
4-year,Private not-for-profit,751,19.7,50.9
4-year,Private not-for-profit,1513,19.7,50.9
4-year,Private not-for-profit,10198,27,50.9
4-year,Private for-profit,172,24.7,50.8
4-year,Private not-for-profit,2097,24.9,50.8
4-year,Private not-for-profit,2241,26.4,50.8
4-year,Private for-profit,303,47.2,50.8
4-year,Private not-for-profit,12567,18.4,50.8
4-year,Private not-for-profit,245,26,50.8
2-year,Public,24005,11.5,50.7
4-year,Private not-for-profit,2962,23.5,50.7
2-year,Public,2123,19,50.7
2-year,Private for-profit,295,6.1,50.7
2-year,Public,5185,18.9,50.7
4-year,Private not-for-profit,647,22.6,50.7
4-year,Public,10605,17.9,50.7
4-year,Public,18027,21.3,50.7
2-year,Public,4399,15.1,50.7
2-year,Public,1774,26.6,50.6
4-year,Private not-for-profit,7336,23,50.6
4-year,Private not-for-profit,3528,32,50.6
2-year,Private not-for-profit,851,15.1,50.6
4-year,Private not-for-profit,1026,18.6,50.6
4-year,Private not-for-profit,1044,24,50.6
4-year,Private not-for-profit,1002,28.5,50.6
2-year,Private not-for-profit,450,16.1,50.6
2-year,Public,913,14.2,50.5
4-year,Private not-for-profit,1431,20.4,50.5
2-year,Public,372,32.5,50.5
2-year,Public,201,12.1,50.5
4-year,Public,4465,19.6,50.4
2-year,Public,2216,21,50.4
2-year,Public,139,13.4,50.4
2-year,Public,405,13,50.4
2-year,Public,1875,25.5,50.3
4-year,Private not-for-profit,1046,26.2,50.3
2-year,Public,1430,20.7,50.3
2-year,Public,329,16.7,50.3
2-year,Public,422,30.2,50.3
4-year,Public,1844,17.9,50.3
4-year,Public,13174,16.7,50.3
4-year,Public,12254,19.5,50.3
4-year,Public,1250,23.9,50.2
4-year,Private not-for-profit,988,16.7,50.2
4-year,Private not-for-profit,840,21.1,50.2
4-year,Public,1455,16.8,50.2
4-year,Private not-for-profit,6202,39.6,50.2
4-year,Private not-for-profit,780,30.9,50.2
4-year,Private not-for-profit,627,25.5,50.2
2-year,Public,6906,23.5,50.2
4-year,Public,2432,17.5,50.1
4-year,Private not-for-profit,1508,20,50.1
4-year,Private not-for-profit,4076,22.3,50.1
4-year,Private not-for-profit,1113,18.6,50.1
4-year,Private not-for-profit,410,28.5,50.1
4-year,Private not-for-profit,1118,19.6,50
4-year,Public,5502,16,50
4-year,Private for-profit,472,22.3,50
4-year,Private not-for-profit,742,33.1,50
2-year,Public,15752,12.1,50
2-year,Public,2491,21.3,50
4-year,Private not-for-profit,1192,22.6,50
4-year,Private not-for-profit,150,20.3,49.9
4-year,Public,12335,20,49.9
4-year,Private for-profit,728,23.4,49.9
2-year,Public,199,9.7,49.9
4-year,Private not-for-profit,1927,21.7,49.8
4-year,Public,19376,20.7,49.8
2-year,Public,5145,23.3,49.8
4-year,Public,2158,20.9,49.8
4-year,Private not-for-profit,735,25.9,49.8
2-year,Public,9751,17,49.8
4-year,Private not-for-profit,821,20.1,49.7
2-year,Private for-profit,330,26.6,49.7
2-year,Public,300,29.4,49.6
4-year,Public,2991,18.8,49.6
2-year,Public,1960,17,49.6
4-year,Private not-for-profit,459,17.4,49.6
2-year,Private for-profit,556,28.2,49.6
4-year,Public,34177,11.2,49.6
4-year,Private for-profit,1097,15.2,49.5
2-year,Private for-profit,915,36.1,49.5
4-year,Public,23097,20.1,49.5
4-year,Public,15694,20,49.5
4-year,Public,3164,22.2,49.5
4-year,Private for-profit,374,16.3,49.5
4-year,Private not-for-profit,529,18.4,49.4
2-year,Public,11204,16.3,49.4
4-year,Public,3975,19.1,49.4
4-year,Private not-for-profit,1409,16.9,49.4
4-year,Private for-profit,632,24.4,49.4
4-year,Private not-for-profit,4276,25.3,49.4
4-year,Private not-for-profit,1671,24.3,49.4
4-year,Private for-profit,2284,35.1,49.3
2-year,Private not-for-profit,87,29.3,49.3
4-year,Private not-for-profit,1478,16.4,49.3
4-year,Private not-for-profit,18083,17,49.3
4-year,Public,12516,21.1,49.3
4-year,Public,4799,22.8,49.3
4-year,Public,833,25.2,49.3
4-year,Public,4065,21.1,49.3
2-year,Public,4288,20.7,49.3
2-year,Public,937,26,49.3
2-year,Public,987,23,49.2
2-year,Public,1181,22,49.2
2-year,Public,2898,14.8,49.2
2-year,Public,2242,17.7,49.2
2-year,Public,2122,16.6,49.2
4-year,Private not-for-profit,1591,32.8,49.2
4-year,Private not-for-profit,1923,21,49.1
2-year,Private not-for-profit,131,46.9,49.1
4-year,Public,1723,28.3,49.1
2-year,Public,7254,14.4,49.1
2-year,Public,15882,17.8,49.1
4-year,Private for-profit,3671,20.2,49.1
4-year,Private not-for-profit,1972,14,49.1
2-year,Public,14360,17.9,49.1
2-year,Public,9570,16.3,49
4-year,Private not-for-profit,1578,22.9,49
2-year,Public,13301,16.5,49
4-year,Private not-for-profit,1708,28.4,49
2-year,Public,8447,17.6,49
2-year,Public,3919,18.8,49
4-year,Private not-for-profit,1493,18.4,49
2-year,Public,12175,12.7,48.9
4-year,Private not-for-profit,6108,24,48.9
4-year,Private not-for-profit,1621,23,48.9
4-year,Private not-for-profit,2274,19.3,48.9
4-year,Private not-for-profit,1567,26.3,48.8
4-year,Public,10951,24.3,48.8
2-year,Public,6720,16.2,48.8
2-year,Private for-profit,1034,50.3,48.8
2-year,Public,9036,11.7,48.8
4-year,Public,6437,20.4,48.8
4-year,Public,12078,22.6,48.8
2-year,Public,8501,15.9,48.8
2-year,Public,12602,14.9,48.8
4-year,Private not-for-profit,4607,22.3,48.7
4-year,Public,15431,22.6,48.7
4-year,Public,7317,14.9,48.7
2-year,Public,9477,19.6,48.7
2-year,Public,9129,10.3,48.7
4-year,Private not-for-profit,5323,23.7,48.7
4-year,Private not-for-profit,239,8.8,48.7
4-year,Public,5614,23.1,48.7
4-year,Private not-for-profit,4425,24.1,48.7
4-year,Public,4842,23.7,48.6
4-year,Public,33901,20.4,48.6
4-year,Public,7217,21.7,48.6
4-year,Private not-for-profit,2484,21.4,48.6
2-year,Public,1240,20.9,48.6
4-year,Private not-for-profit,5839,21.1,48.6
4-year,Private not-for-profit,987,35.2,48.6
2-year,Public,8405,16.6,48.6
4-year,Private not-for-profit,2691,18.6,48.5
4-year,Public,7539,24.9,48.5
4-year,Public,6653,21.3,48.5
2-year,Public,11969,12.8,48.5
4-year,Public,10027,20.1,48.5
2-year,Public,28891,25.2,48.5
4-year,Public,1956,17.8,48.5
2-year,Public,8837,24.1,48.5
2-year,Public,3596,21.3,48.5
4-year,Public,4567,17.3,48.5
2-year,Public,3883,18.8,48.5
4-year,Public,392,14.3,48.4
4-year,Public,2396,20.2,48.4
2-year,Public,2320,15.5,48.4
2-year,Public,470,20.4,48.4
2-year,Public,2675,11,48.4
4-year,Public,1604,15.4,48.4
2-year,Public,744,12.2,48.4
4-year,Public,22416,17.8,48.4
2-year,Public,2458,15,48.4
2-year,Public,1861,13.1,48.4
2-year,Public,970,17.6,48.3
4-year,Public,13582,20,48.3
2-year,Public,2245,11.8,48.3
4-year,Public,1653,14.6,48.3
2-year,Public,8938,18.1,48.2
2-year,Public,6265,18.6,48.2
4-year,Private for-profit,826,12.3,48.2
4-year,Private not-for-profit,318,17.4,48.2
2-year,Public,530,14.7,48.2
2-year,Public,1802,7.2,48.1
2-year,Public,697,15.2,48.1
4-year,Public,2849,16.8,48.1
4-year,Private not-for-profit,1724,18.6,48.1
4-year,Private not-for-profit,5040,26.5,48.1
2-year,Public,4230,18.1,48.1
4-year,Private for-profit,557,12.3,48
4-year,Private for-profit,580,27.5,48
4-year,Private not-for-profit,1078,3.3,48
4-year,Private not-for-profit,1960,19.4,48
2-year,Private not-for-profit,216,37.8,48
2-year,Private not-for-profit,408,30,48
4-year,Private not-for-profit,1365,27.8,48
4-year,Private not-for-profit,2014,26.3,47.9
4-year,Private not-for-profit,2489,25.5,47.9
4-year,Private for-profit,4596,17.1,47.9
2-year,Private not-for-profit,269,53.1,47.9
4-year,Private not-for-profit,1050,27.2,47.8
2-year,Private not-for-profit,796,24.6,47.8
4-year,Private for-profit,1886,26.1,47.8
2-year,Public,5894,21.8,47.8
4-year,Private for-profit,413,27.9,47.8
4-year,Private for-profit,452,32.7,47.8
2-year,Private for-profit,522,21.2,47.8
4-year,Private for-profit,740,19.9,47.8
4-year,Private for-profit,389,26.6,47.7
2-year,Private for-profit,56,30.2,47.7
4-year,Private not-for-profit,3084,23.5,47.7
2-year,Private for-profit,592,23.3,47.7
2-year,Public,4410,17.5,47.7
4-year,Private not-for-profit,1077,22.2,47.7
4-year,Private not-for-profit,650,19.7,47.7
4-year,Private not-for-profit,3110,20.7,47.6
2-year,Public,1990,23.2,47.6
4-year,Private not-for-profit,2890,24.3,47.6
4-year,Private not-for-profit,911,20.9,47.6
4-year,Private not-for-profit,7970,24.4,47.6
2-year,Public,2118,24.9,47.5
4-year,Private not-for-profit,887,20.3,47.5
4-year,Private not-for-profit,868,20.6,47.5
4-year,Private not-for-profit,14393,24.2,47.4
2-year,Public,4929,20.6,47.4
2-year,Private not-for-profit,336,46.1,47.4
4-year,Private not-for-profit,2814,40.4,47.4
4-year,Public,14082,22.5,47.4
2-year,Public,24186,16,47.4
2-year,Public,11368,15.2,47.3
4-year,Public,13596,21.7,47.3
4-year,Public,13465,17.6,47.3
4-year,Public,12501,18.8,47.3
2-year,Public,7006,15.1,47.3
4-year,Public,16689,20.3,47.3
4-year,Public,13217,22.6,47.3
2-year,Public,18634,17.6,47.3
2-year,Public,19564,18,47.3
4-year,Public,9886,21.9,47.3
4-year,Public,6477,18.3,47.3
4-year,Public,16860,16.2,47.3
4-year,Public,15351,22.4,47.3
2-year,Public,16291,15.2,47.3
4-year,Public,8261,16.1,47.2
4-year,Private not-for-profit,2023,19.4,47.2
4-year,Private not-for-profit,2156,22.8,47.2
4-year,Private not-for-profit,1527,21.2,47.2
4-year,Private not-for-profit,2314,23.8,47.2
2-year,Public,10232,18.4,47.2
2-year,Private not-for-profit,123,53.6,47.1
2-year,Private for-profit,431,62.7,47.1
4-year,Private not-for-profit,1408,20.1,47.1
2-year,Public,13649,19.2,47.1
4-year,Public,9566,37.5,47.1
2-year,Public,6389,20.4,47.1
4-year,Private for-profit,760,18.6,47.1
4-year,Private not-for-profit,8345,22.6,47.1
2-year,Public,2781,20.7,47
2-year,Public,7079,19.7,47
4-year,Private not-for-profit,1926,26.4,47
4-year,Private not-for-profit,1618,20.1,47
4-year,Private not-for-profit,396,58.8,47
2-year,Public,3212,21,47
4-year,Private not-for-profit,1020,22.8,46.9
4-year,Private not-for-profit,2368,21.5,46.9
4-year,Private not-for-profit,6826,23.5,46.9
4-year,Private not-for-profit,1081,28.2,46.9
2-year,Public,12841,21.4,46.8
2-year,Private not-for-profit,103,21.5,46.8
4-year,Private not-for-profit,3539,21.7,46.7
2-year,Private for-profit,95,51.7,46.7
4-year,Private not-for-profit,6234,23.3,46.7
2-year,Public,5178,22.3,46.7
4-year,Private for-profit,275,42.6,46.6
2-year,Public,3931,22,46.6
4-year,Private not-for-profit,163,14.4,46.6
4-year,Private not-for-profit,581,17.9,46.6
2-year,Private for-profit,274,37.7,46.6
4-year,Private not-for-profit,120,14.7,46.6
4-year,Private not-for-profit,1830,31,46.6
4-year,Private for-profit,1513,20.1,46.5
4-year,Private not-for-profit,2785,22.9,46.5
4-year,Private not-for-profit,5006,14.8,46.5
4-year,Private not-for-profit,7983,17.4,46.5
2-year,Private for-profit,446,22.6,46.5
4-year,Private not-for-profit,148,11.3,46.5
2-year,Private for-profit,782,22.5,46.5
4-year,Private not-for-profit,3403,22.7,46.5
4-year,Private not-for-profit,377,23.1,46.5
4-year,Private not-for-profit,1719,21.5,46.5
4-year,Private not-for-profit,880,37,46.5
4-year,Private not-for-profit,5566,23.8,46.5
4-year,Private not-for-profit,1833,21.8,46.4
4-year,Private not-for-profit,1727,26.3,46.4
2-year,Private not-for-profit,123,70.9,46.4
4-year,Private not-for-profit,8154,20,46.4
4-year,Private not-for-profit,207,9.2,46.4
2-year,Private for-profit,904,29.3,46.4
4-year,Private not-for-profit,160,11.5,46.4
2-year,Public,7433,18.2,46.4
4-year,Private not-for-profit,3375,21,46.4
4-year,Private for-profit,6794,25.3,46.4
2-year,Public,16458,19.4,46.4
4-year,Private not-for-profit,2203,24.5,46.3
4-year,Private not-for-profit,1669,19.2,46.3
2-year,Public,23318,16.1,46.2
4-year,Private not-for-profit,2034,25.6,46.2
4-year,Private not-for-profit,3225,23.2,46.2
4-year,Private not-for-profit,6777,26.1,46.2
4-year,Private not-for-profit,22615,22.5,46.2
2-year,Public,6630,23.6,46.2
4-year,Private not-for-profit,2896,30.4,46.2
2-year,Public,2088,23.4,46.2
4-year,Private not-for-profit,4456,24,46.1
4-year,Private not-for-profit,451,36.6,46.1
4-year,Private not-for-profit,1831,25,46.1
2-year,Public,12834,14.7,46.1
2-year,Public,7029,16.4,46.1
4-year,Private not-for-profit,8289,19.9,46.1
4-year,Private not-for-profit,981,24.1,46.1
4-year,Private for-profit,726,22.5,46
4-year,Private not-for-profit,2155,16.6,46
4-year,Private not-for-profit,395,19.9,46
4-year,Private not-for-profit,3311,19,46
2-year,Private not-for-profit,884,27.6,46
4-year,Private not-for-profit,166,12.5,46
4-year,Private not-for-profit,263,20.5,46
4-year,Private not-for-profit,269,11.7,46
4-year,Private not-for-profit,5452,22.4,45.9
4-year,Private not-for-profit,1315,30,45.9
2-year,Private for-profit,617,25.8,45.9
4-year,Private not-for-profit,13880,21.3,45.9
4-year,Private not-for-profit,6177,22.7,45.9
2-year,Public,7652,17.4,45.9
4-year,Private not-for-profit,1699,26.7,45.9
4-year,Private not-for-profit,1826,21.9,45.8
4-year,Private not-for-profit,2764,19.1,45.8
2-year,Private not-for-profit,302,46.9,45.8
4-year,Private not-for-profit,2414,23.4,45.8
4-year,Private not-for-profit,2891,22.7,45.8
4-year,Private not-for-profit,1801,23.1,45.8
2-year,Private not-for-profit,163,80.4,45.8
4-year,Private not-for-profit,1471,23.7,45.8
2-year,Public,6574,16.6,45.8
4-year,Private not-for-profit,190,12.1,45.8
4-year,Private not-for-profit,3151,25.7,45.7
4-year,Private not-for-profit,2684,22.6,45.7
4-year,Private not-for-profit,4529,26.7,45.7
2-year,Private not-for-profit,159,60.1,45.7
4-year,Private not-for-profit,2959,24.9,45.7
2-year,Private for-profit,747,25.6,45.7
4-year,Private not-for-profit,15773,18.1,45.7
2-year,Private for-profit,614,21.6,45.7
2-year,Public,1585,18.6,45.7
4-year,Public,3555,29.6,45.7
4-year,Public,3512,28.2,45.7
4-year,Public,3308,29,45.7
4-year,Public,2453,25.3,45.6
4-year,Public,8162,22.5,45.6
4-year,Public,3028,22.2,45.6
4-year,Public,12822,24.5,45.6
4-year,Public,12997,23.6,45.6
4-year,Public,19831,21.8,45.6
4-year,Public,15992,22.7,45.6
4-year,Public,1702,24.2,45.6
4-year,Public,1804,26.5,45.6
4-year,Public,7090,25.7,45.6
4-year,Public,9355,20.4,45.5
4-year,Public,6400,23,45.5
4-year,Public,5092,21.6,45.5
4-year,Public,5504,22.5,45.5
4-year,Public,6570,25,45.5
4-year,Public,5800,23.1,45.5
4-year,Public,7328,22.9,45.5
4-year,Public,3707,18.2,45.4
4-year,Public,4239,23,45.4
4-year,Public,4161,20.3,45.4
4-year,Public,5639,23.7,45.4
4-year,Public,10827,32.7,45.4
4-year,Public,1601,14.6,45.4
2-year,Private for-profit,848,37.1,45.4
4-year,Private not-for-profit,15097,19,45.4
4-year,Private not-for-profit,321,1.2,45.3
2-year,Private for-profit,3020,20.3,45.3
2-year,Public,5490,18.7,45.3
4-year,Private not-for-profit,180,1.2,45.3
4-year,Private not-for-profit,6827,29.6,45.3
4-year,Private not-for-profit,1492,34.5,45.2
2-year,Public,3615,21.1,45.2
4-year,Private not-for-profit,2246,24.7,45.2
4-year,Private not-for-profit,1814,13.5,45.2
4-year,Public,958,14.1,45.2
4-year,Private not-for-profit,2881,22.6,45.2
2-year,Private for-profit,324,30,45.2
4-year,Private not-for-profit,2477,25.4,45.2
4-year,Private not-for-profit,465,21.8,45.1
4-year,Private for-profit,3636,21.4,45.1
4-year,Private not-for-profit,1842,24.5,45.1
4-year,Private not-for-profit,534,21.2,45.1
4-year,Private for-profit,1197,21.9,45.1
2-year,Public,13781,14.1,45.1
2-year,Private for-profit,476,45.4,45
4-year,Private not-for-profit,119,9.5,45
4-year,Private not-for-profit,152,3.6,45
4-year,Private not-for-profit,104,8.6,44.9
4-year,Private not-for-profit,220,7.9,44.9
4-year,Private not-for-profit,2887,34.2,44.9
4-year,Private not-for-profit,470,14,44.9
4-year,Private not-for-profit,164,2.3,44.9
2-year,Public,2607,16.4,44.9
4-year,Private for-profit,1427,17.3,44.9
2-year,Public,2776,15.5,44.9
4-year,Public,16025,21,44.9
2-year,Public,8092,13.8,44.9
4-year,Private not-for-profit,1057,21.6,44.8
2-year,Public,2019,16,44.8
4-year,Private not-for-profit,1647,21.2,44.8
4-year,Private not-for-profit,680,15.8,44.8
2-year,Public,1199,13.4,44.8
2-year,Public,2324,12.9,44.8
4-year,Private not-for-profit,701,19.2,44.7
2-year,Public,1809,20.9,44.7
4-year,Private not-for-profit,451,43.3,44.7
2-year,Public,3933,19.8,44.7
4-year,Private not-for-profit,4465,21.6,44.7
2-year,Public,9246,15.3,44.7
2-year,Public,1524,21.6,44.7
4-year,Private not-for-profit,1298,23.1,44.6
2-year,Public,4561,16.4,44.6
4-year,Private for-profit,256,29.6,44.6
2-year,Public,4728,18.5,44.6
2-year,Public,20198,11,44.6
4-year,Private not-for-profit,1361,10.8,44.6
2-year,Public,3371,12.2,44.5
2-year,Public,4433,16.8,44.5
2-year,Public,3376,18,44.5
2-year,Public,4073,18.4,44.5
4-year,Private not-for-profit,1788,23.8,44.5
4-year,Private not-for-profit,6646,20.8,44.4
2-year,Public,5605,13.5,44.4
4-year,Public,21508,20,44.4
2-year,Public,2808,14.6,44.4
4-year,Public,2336,14.9,44.4
4-year,Private not-for-profit,5599,22.4,44.4
2-year,Public,12398,10.8,44.4
4-year,Public,5410,19.9,44.4
2-year,Public,9528,13.3,44.4
4-year,Private not-for-profit,2587,26.5,44.4
2-year,Public,5977,17.3,44.3
4-year,Private not-for-profit,974,19.9,44.3
4-year,Private not-for-profit,2302,20.9,44.3
2-year,Public,13656,16.8,44.3
2-year,Public,1353,13,44.3
2-year,Public,2290,17.2,44.3
4-year,Private not-for-profit,3999,18.3,44.3
2-year,Public,2390,14.9,44.3
2-year,Public,1291,20.9,44.3
4-year,Private not-for-profit,386,46.6,44.3
4-year,Private not-for-profit,1387,16.2,44.3
2-year,Public,4235,13.9,44.3
4-year,Private not-for-profit,890,24.7,44.3
2-year,Public,2813,12.5,44.3
4-year,Private not-for-profit,1491,18.6,44.2
4-year,Private not-for-profit,1175,10.2,44.2
2-year,Private not-for-profit,678,13.4,44.2
4-year,Private not-for-profit,1426,16.3,44.2
2-year,Public,799,15.6,44.2
2-year,Public,1254,14.8,44.2
2-year,Public,1152,21.9,44.2
4-year,Private not-for-profit,1571,22.5,44.2
4-year,Private not-for-profit,2243,14.6,44.1
4-year,Private for-profit,2856,20.7,44.1
2-year,Public,3514,13.6,44.1
2-year,Public,884,18.6,44
4-year,Private not-for-profit,743,30.8,44
4-year,Private not-for-profit,3414,29.8,44
2-year,Public,3279,12,44
4-year,Public,8872,14.6,44
4-year,Public,3736,20.9,44
4-year,Public,18370,25.2,44
4-year,Public,21503,21,44
4-year,Public,14753,20.7,44
4-year,Public,6220,14.9,44
4-year,Public,797,18.9,43.9
4-year,Public,24536,22.6,43.9
4-year,Private not-for-profit,1602,26.7,43.9
4-year,Public,12447,22.9,43.9
2-year,Public,597,14.3,43.9
4-year,Private not-for-profit,1007,18.1,43.9
4-year,Public,5429,17.3,43.9
4-year,Private not-for-profit,951,21,43.9
4-year,Private not-for-profit,197,23.8,43.9
2-year,Public,1591,14,43.9
2-year,Public,8902,15.3,43.8
4-year,Private not-for-profit,1734,26.5,43.8
2-year,Public,3024,16.9,43.8
2-year,Public,2664,12.8,43.8
4-year,Private not-for-profit,162,18.6,43.8
2-year,Public,933,12,43.8
2-year,Public,2260,13,43.7
2-year,Public,1854,15.5,43.7
2-year,Public,6731,15.2,43.7
4-year,Private not-for-profit,1299,14.9,43.7
4-year,Private not-for-profit,979,16.1,43.7
2-year,Public,1538,17.1,43.6
2-year,Public,4158,14.8,43.6
4-year,Private not-for-profit,1923,16.5,43.5
4-year,Private not-for-profit,595,20.7,43.5
2-year,Public,1402,10.8,43.5
2-year,Public,2242,19.7,43.5
2-year,Public,2885,18.7,43.5
2-year,Public,3454,16.4,43.5
2-year,Public,4161,16.4,43.4
2-year,Public,1412,15,43.4
2-year,Public,4008,13.8,43.4
4-year,Private not-for-profit,4823,23.6,43.4
2-year,Public,19160,10.9,43.4
4-year,Private not-for-profit,830,21.6,43.4
2-year,Public,3837,15.8,43.4
2-year,Public,2352,23.2,43.4
2-year,Public,2753,20.4,43.4
2-year,Public,2117,13.3,43.4
4-year,Private not-for-profit,2009,15.9,43.4
4-year,Public,4938,24.2,43.4
4-year,Public,8448,23.7,43.4
4-year,Private for-profit,964,30.2,43.4
4-year,Public,4062,35.5,43.4
4-year,Public,1449,22.9,43.3
4-year,Public,203,19.8,43.3
4-year,Private not-for-profit,955,16.9,43.3
2-year,Public,1898,19.1,43.3
2-year,Public,254,19.5,43.3
4-year,Private not-for-profit,2044,20.6,43.3
4-year,Public,1036,17.1,43.3
4-year,Public,3254,21.1,43.3
4-year,Public,11724,16.7,43.3
2-year,Public,3168,27.6,43.3
2-year,Public,793,28.4,43.3
4-year,Public,11948,18,43.2
2-year,Public,909,31.6,43.2
4-year,Public,279,19.3,43.2
4-year,Private not-for-profit,198,17.7,43.2
4-year,Private not-for-profit,602,26.5,43.2
4-year,Private not-for-profit,505,19.8,43.1
4-year,Public,1211,21.6,43.1
2-year,Private for-profit,161,31,43.1
2-year,Private for-profit,243,27.5,43.1
4-year,Private for-profit,302,24.7,43.1
4-year,Public,20477,17.6,43.1
2-year,Public,2020,5,43.1
2-year,Private for-profit,180,24.6,43.1
4-year,Private not-for-profit,207,18.3,43.1
4-year,Private not-for-profit,3198,22.2,43.1
4-year,Private not-for-profit,306,35.1,43.1
4-year,Private not-for-profit,3425,22.5,43
2-year,Public,1259,20,43
4-year,Private not-for-profit,1053,23.4,43
2-year,Private for-profit,356,41.1,43
2-year,Public,2441,13.5,43
4-year,Public,14477,19.1,43
4-year,Private for-profit,662,19.5,43
4-year,Private not-for-profit,2788,21.3,43
4-year,Private not-for-profit,4661,21.8,43
4-year,Private not-for-profit,3238,18.6,42.9
2-year,Public,3648,19,42.9
4-year,Public,2036,11,42.9
2-year,Private not-for-profit,427,14.7,42.9
4-year,Private not-for-profit,535,33.6,42.9
4-year,Private not-for-profit,676,20.7,42.8
4-year,Public,23706,23.3,42.8
2-year,Public,11167,16,42.8
4-year,Public,3446,16.9,42.8
4-year,Public,4796,15,42.8
4-year,Private not-for-profit,3528,17.2,42.8
2-year,Public,5653,14.5,42.8
4-year,Private not-for-profit,568,17.3,42.8
4-year,Private not-for-profit,237,18.6,42.8
4-year,Public,12133,19.8,42.7
2-year,Private for-profit,449,37.6,42.7
4-year,Private not-for-profit,1348,20.5,42.7
2-year,Public,25249,12.6,42.7
2-year,Public,27910,13.3,42.7
2-year,Private for-profit,218,32.3,42.7
4-year,Private not-for-profit,7975,21.1,42.7
4-year,Private not-for-profit,892,21.3,42.7
4-year,Private not-for-profit,2274,22.8,42.6
2-year,Public,2993,20.8,42.6
4-year,Private for-profit,538,15.7,42.6
4-year,Private not-for-profit,3872,16.6,42.6
4-year,Private not-for-profit,5185,32.9,42.6
4-year,Private not-for-profit,305,20.2,42.6
4-year,Private not-for-profit,355,36.4,42.6
4-year,Private not-for-profit,1107,20.4,42.6
4-year,Private not-for-profit,1283,22.2,42.5
2-year,Public,4094,18.8,42.5
4-year,Private for-profit,304,37.8,42.5
2-year,Public,2929,16.5,42.5
4-year,Private not-for-profit,3040,21.6,42.5
4-year,Private for-profit,1656,45.8,42.5
4-year,Public,2339,16.4,42.5
4-year,Public,1671,16.7,42.5
4-year,Public,4836,4.4,42.5
4-year,Public,3061,5.5,42.5
